Trade_Date,total_trades,total_pnl,avg_trade_size,total_fees,win_trades,loss_trades,win_ratio,timestamp,value,classification,date,pnl_class,value_lag1,value_lag2,value_lag3,value_z,total_pnl_z,rolling_pnl,pnl_volatility,cluster,pca1,pca2
2023-05-01,3,0.0,159.0,0.0,0,3,0.0,1682919000,63,Greed,2023-05-01,0,,,,0.15779429396091893,-0.2979348027747191,,,0,-1.0784918321544381,-0.003819066919062764
2023-12-05,9,0.0,5556.203333333334,12.501455,0,9,0.0,1701754200,75,Extreme Greed,2023-12-05,0,63.0,,,0.8006019493027766,-0.2979348027747191,,,0,-0.944054925391333,0.7015318708273165
2023-12-14,11,-205.43473700000007,10291.213636363636,28.300831000000002,4,7,0.36363636363636365,1702531800,72,Greed,2023-12-14,0,75.0,63.0,,0.6399000354673122,-0.3007938194915618,,,0,-0.6101656503319787,0.565824799793413
2023-12-15,2,-24.632033999999997,5304.975,2.652489,0,2,0.0,1702618200,70,Greed,2023-12-15,0,72.0,75.0,63.0,0.5327654262436693,-0.29827760457155367,,,0,-0.9602746927591611,0.6672502516941521
2023-12-16,3,0.0,5116.256666666667,3.8371890000000004,0,3,0.0,1702704600,67,Greed,2023-12-16,0,70.0,72.0,75.0,0.37206351240820484,-0.2979348027747191,-46.013354200000016,89.75525672845443,0,-0.9630827711191394,0.642748078659313
2023-12-17,14,304.982785,8305.572857142857,29.069499,7,7,0.5,1702791000,73,Greed,2023-12-17,1,67.0,70.0,72.0,0.6934673400791337,-0.2936903848471695,14.983202799999981,183.50898178349672,2,-0.5683644976412359,0.021100602158814912
2023-12-18,2,0.0,15582.089999999998,7.791045,0,2,0.0,1702877400,65,Greed,2023-12-18,0,73.0,67.0,70.0,0.26492890318456186,-0.2979348027747191,14.983202799999981,183.50898178349672,0,-0.7222857030796156,2.0069504884269427
2023-12-19,15,1000.5386120000001,6106.827333333334,22.900596,10,5,0.6666666666666666,1702963800,73,Greed,2023-12-19,1,65.0,73.0,67.0,0.6934673400791337,-0.2840103971005484,256.1778726,437.7679860094017,2,-0.5172399508248109,-0.6166448160884782
2023-12-20,18,162.732282,7868.710555555556,35.409187,8,10,0.4444444444444444,1703050200,74,Greed,2023-12-20,1,73.0,65.0,73.0,0.7470346446909552,-0.29567007227489156,293.6507358,415.15660770207046,2,-0.6061647382181895,0.08154491130096753
2023-12-21,49,537.211402,2555.795306122449,31.308469,26,23,0.5306122448979592,1703136600,70,Greed,2023-12-21,1,74.0,73.0,65.0,0.5327654262436693,-0.2904584801175801,401.0930162,388.8418255122861,2,-0.6523894470458149,-0.7945792149289155
2023-12-22,10,141.832675,8887.428,22.218566000000003,2,8,0.2,1703223000,74,Greed,2023-12-22,1,70.0,74.0,73.0,0.7470346446909552,-0.29596093022160985,368.4629942,405.4155329319935,0,-0.7417849059051844,0.7206894205395756
2023-12-23,13,146.936704,6033.711538461538,19.609555,8,5,0.6153846153846154,1703309400,70,Greed,2023-12-23,1,74.0,70.0,74.0,0.5327654262436693,-0.2958898979100965,397.85033500000003,376.31032989030405,2,-0.5579282401717451,-0.5162469771631937
2023-12-24,39,1008.619956,10332.177948717948,100.738715,15,24,0.38461538461538464,1703395800,71,Greed,2023-12-24,1,70.0,74.0,70.0,0.5863327308554908,-0.28389792976455663,399.46660380000003,379.5494587691054,0,-0.531374297293275,0.5360391342542179
